0000_00.00.07.640-00.00.09.050	In 1989, 
0074_00.02.00.245-00.02.05.435	Magneto reveals to them that the attack on the President at the beginning of the film was a false flag attack, 
0074_00.02.05.435-00.02.08.415	orchestrated by Stryker,
0074_00.02.08.415-00.02.14.245	to justify raiding Xavier's school in order to steal the parts from Cerebro to build a second one at Stryker's secret base.
0074_00.02.14.245-00.02.19.245	At the base, it is revealed that even though Stryker seems to hate mutants,
0074_00.02.19.245-00.02.24.540	he in fact has a mutant son with the ability to create hallucinations and trick people into doing his bidding.
0074_00.02.24.540-00.02.33.070	Stryker has his son control Xavier to begin to use the second Cerebro to find and try to kill all of the mutants.
0074_00.02.33.070-00.02.36.110	The X-Men arrive and begin to search for the captured students.
0074_00.02.36.115-00.02.41.245	They are attacked by a brainwashed Cyclops while trying to rescue Xavier, 
0074_00.02.41.245-00.02.43.890	which damages the generators at the dam, causing it to begin to break apart.
0074_00.02.43.890-00.02.47.640	Eventually, Jean Grey is able to awaken Cyclops from his brainwashed state.
0074_00.02.47.645-00.02.53.485	Wolverine finds Stryker, where he starts to remember some of his past, 
0074_00.02.53.485-00.02.56.955	remembering that he was injected by Stryker with his metal skeleton
0074_00.02.56.955-00.03.02.165	and it was only through his healing abilities that he was able to survive the incredibly painful process.
0074_00.03.02.170-00.03.08.395	This whole backstory is discussed much further in the Wolverine film, which I will be doing a spoiler for at some point.
0074_00.03.08.395-00.03.15.470	Wolverine battles Stryker's assistant, who has similar metal claws and healing abilities, 
0074_00.03.15.470-00.03.18.790	but Wolverine is able to defeat and kill her.
0074_00.03.18.790-00.03.22.860	Stryker tries to bargain with Wolverine, offering to tell Wolverine his past but Wolverine refuses
0074_00.03.22.860-00.03.25.700	and binds Stryker in chains.
0074_00.03.25.705-00.03.28.285	The X-Men locate the captured students
0074_00.03.28.285-00.03.32.585	and Magneto is able to stop Stryker's son from killing all the mutants.
0074_00.03.32.585-00.03.40.415	Mystique then disguises herself as Stryker, convincing Stryker's son to control Xavier to kill all the humans instead of the mutants, 
0074_00.03.40.415-00.03.43.620	and Mystique, Magneto and Pyro escape.
0074_00.03.43.620-00.03.48.280	Nightcrawler and Storm are able, however, to stop Stryker's son
0074_00.03.48.280-00.03.50.830	and free Xavier, preventing the humans from being killed.
0074_00.03.50.830-00.03.52.490	The X-Men baord their X-Jet 
0074_00.03.52.490-00.03.54.180	as the dam bursts, 
0074_00.03.54.180-00.03.55.700	killing Stryker.
0074_00.03.55.700-00.03.59.450	However, the X-Jet malfunctions, preventing it from taking off.
0074_00.03.59.450-00.04.06.560	Jean Grey sacrifices herself, using a telekinetic wall, to shield the X-Jet from the flood.
0074_00.04.06.565-00.04.08.945	She is able to activate the X-Jet's engines,
0074_00.04.08.945-00.04.11.665	as the water overtakes her, presumably killing her.
0074_00.04.11.665-00.04.15.165	The X-Men give the President Stryker's files
0074_00.04.15.165-00.04.20.620	and Xavier warns the President that humans and mutants must work together to build peace.
0074_00.04.20.620-00.04.28.660	As the film ends, a Phoenix-like symbol appears in the lake that flooded, implying Jean survived and leaving hints for the next film.
0075_00.00.19.465-00.00.23.675	The film follows Derek Zoolander, a dimwitted male model, 
0075_00.00.23.675-00.00.27.060	famous for his various looks, like Blue Steel and Le Tigre, which pretty much look the exact same.
0075_00.00.27.060-00.00.28.510	UNMATCHED
0075_00.00.28.510-00.00.31.290	Derek, however, has fallen from the top of the male fashion world
0075_00.00.31.290-00.00.35.150	to be replaced by a new star, Hansel.
0075_00.00.35.150-00.00.42.230	Derek's reputation is further ruined by an article wrote by the journalist, Matilda Jeffries.
0075_00.00.42.235-00.00.48.675	After losing his roommates in a gasoline explosion, which they happened to cause themselves,
0075_00.00.48.675-00.00.51.985	Derek retires from modeling and tries to reconnect with his father and brothers, who work in the coal mines, 
0075_00.00.51.985-00.00.55.120	however, they reject Derek.
0075_00.00.55.120-00.00.57.850	A fashion mogul named Mugatu
0075_00.00.57.850-00.01.05.990	and Derek's agent Maury become involved in a secret plot by the top tier of the fashion industry, 
0075_00.01.05.990-00.01.07.990	in order to find a model who can be brainwashed into assissinating the prime minister of Malaysia, 
0075_00.01.07.990-00.01.12.400	which would allow the fashion industry to continue using cheap child labor in Malaysia.
0075_00.01.12.400-00.01.15.170	Mugatu hires Derek for his next runway show
0075_00.01.15.170-00.01.18.740	and has him sent to a day spa,
0075_00.01.18.740-00.01.22.780	in order to prepare Derek to be brainwashed to kill the Malaysian Prime MInister.
0075_00.01.22.780-00.01.27.580	The journalist, Matilda, who feels partially responsible for Derek's retirement, becomes suspicious of Mugatu's offer to hire Derek
0075_00.01.27.580-00.01.34.480	and is tipped off by an anonymous caller that something is up.
0075_00.01.34.485-00.01.35.895	She tries to warn Derek,
0075_00.01.35.895-00.01.37.295	but Derek ignores her.
0075_00.01.37.295-00.01.40.065	Matilda follows Derek to a pre-runway party,
0075_00.01.40.065-00.01.43.000	where Derek is challenged by the new star, Hansel.
0075_00.01.43.000-00.01.45.570	Derek loses to Hansel in a walk-off, 
0075_00.01.45.570-00.01.47.240	judged by David Bowie.
0075_00.01.47.240-00.01.51.640	Matilda convinces Derek to go with her to meet up with the anonymous caller, 
0075_00.01.51.640-00.01.54.540	who turns out to be former hand model, J.P. Prewett.
0075_00.01.54.540-00.01.59.880	J.P. explains that the fashion industry has all throughout history, been involved in political assassinations
0075_00.01.59.880-00.02.02.220	using brain washed models to kill the targets.
0075_00.02.02.220-00.02.07.320	Mugatu's henchmen attacks the meeting, however, 
0075_00.02.07.320-00.02.11.960	and Derek and Matilda hide at Hansel's place because they believe it's the last place Mugatu would think to look.
0075_00.02.11.960-00.02.13.910	Derek, Hansel and Matilda all begin to bond, 
0075_00.02.13.910-00.02.23.940	where Matilda reveals that she hates models, primarily because as a child, she was bullied for being overweight and that she thinks models hurt peoples' self esteems.
0075_00.02.23.945-00.02.27.645	The 3 of them end up engaging in a drug and sex fueled o***, 
0075_00.02.27.645-00.02.31.350	and the next morning, Derek finds that he's falling in love with Matilda.
0075_00.02.31.350-00.02.36.050	Derek and Hansel later break into the office of Derek's agent, Maury, in order to find out more about the assassination,
0075_00.02.36.050-00.02.40.490	however, they realize they don't know how to use a computer, and leave empty handed.
0075_00.02.40.490-00.02.41.660	UNMATCHED
0075_00.02.41.670-00.02.44.330	Derek leaves for the show,
0075_00.02.44.330-00.02.48.860	the one where the Malaysian Prime Minister will be at, where Derek is supposed to kill him.
0075_00.02.48.860-00.02.54.300	Derek is aware that there is some trigger that will cause him to attack the Prime Minister, however, he does not know what the trigger will be.
0075_00.02.54.300-00.02.56.640	Once Derek reaches the runway,
0075_00.02.56.640-00.03.00.880	 the deejay begins to play the song "Relax", which is Derek's trigger.
0075_00.03.00.880-00.03.04.250	Derek begins to charge at the Prime Minister,
0075_00.03.04.250-00.03.06.480	but Hansel is able to get the song changed, 
0075_00.03.06.480-00.03.07.320	preventing the Prime Minister's death.
0075_00.03.07.320-00.03.09.440	Mugatu tries to cover up the assassination, 
0075_00.03.09.440-00.03.11.210	UNMATCHED
0075_00.03.11.210-00.03.13.620	but Maury steps forward and confesses,
0075_00.03.13.620-00.03.15.100	incriminating both Maury and Mugatu.
0075_00.03.15.100-00.03.18.990	Mugatu tries to kill the Prime Minister with a shuriken,
0075_00.03.18.990-00.03.21.840	but it is stopped by Derek using his ultimate model look, known as Magnum, 
0075_00.03.21.840-00.03.26.220	causing the shuriken to freeze and fall to the ground where the Prime Minister is saved.
0075_00.03.26.220-00.03.28.570	UNMATCHED
0075_00.03.28.575-00.03.30.425	Mugatu is arrested
0075_00.03.30.425-00.03.32.300	and the Prime Minister thanks Derek.
0075_00.03.32.300-00.03.37.850	Back at Derek's hometown, his family watches the events unfold and Derek's father proudly acknowledges his son.
0075_00.03.37.850-00.03.39.080	UNMATCHED
0075_00.03.39.080-00.03.47.260	Derek leaves fashion to open 'The Derek Zoolander Center for Kids Who Can't Read Good and Want to Learn to do Other Stuff Good Too' 
0075_00.03.47.260-00.03.52.220	and we see Derek and Matilda have their own son, named Derek Zoolander Jr.,
0075_00.03.52.220-00.03.54.780	who is working on his own modeling looks.
0076_00.00.12.535-00.00.15.335	In the Cenozoic era,
0076_00.00.15.335-00.00.21.980	six interplanetary warriors, the Power Rangers, are tasked with protecting life on Earth and the Zeo crystal.
0076_00.00.21.980-00.00.25.260	The Green Ranger, Rita Repulsa, betrays them and plans to dominate the universe.
0076_00.00.25.265-00.00.27.275	The Red Ranger, Zordon, 
0076_00.00.27.275-00.00.33.030	survives Rita's attack and hides five of the Rangers' power source, the Power Coins.
0076_00.00.33.030-00.00.39.330	He orders Alpha 5 to perform a meteor strike that kills him, the dinosaurs 
0076_00.00.39.330-00.00.41.490	and sends Rita to the bottom of the sea, foiling her scheme.
0076_00.00.41.490-00.00.43.890	In 21st century Angel Grove,
0076_00.00.43.890-00.00.46.710	high school football star, Jason Scott,
0076_00.00.46.710-00.00.50.210	is dismissed from the team and placed under house arrest after a failed prank.
0076_00.00.50.210-00.00.53.470	In detention, he encounters Billy Cranston
0076_00.00.53.470-00.00.54.970	and Kimberly Hart.
0076_00.00.54.975-00.00.57.415	After defending Billy from a bully,
0076_00.00.57.415-00.01.02.520	Billy offers to deactivate Jason's ankle monitor for help at an old gold mine that evening.
0076_00.01.02.520-00.01.06.900	Once there, Jason leaves to explore and runs into Kimberly.
0076_00.01.06.900-00.01.09.640	Billy detonates explosives to break some rock,
0076_00.01.09.640-00.01.11.600	attracting the attention of Jason, Kimberly, 
0076_00.01.11.600-00.01.15.640	and nearby students, Trini and Zack.
0076_00.01.15.640-00.01.18.195	The five discover the Power Coins and each take one.
0076_00.01.18.195-00.01.20.205	While escaping mine security,
0076_00.01.20.205-00.01.22.075	their car is hit by a train.
0076_00.01.22.075-00.01.23.875	The five find themselves at home the next morning
0076_00.01.23.875-00.01.27.780	and discover they have been granted superhuman abilities.
0076_00.01.27.780-00.01.30.525	Elsewhere, Rita's body is found.
0076_00.01.30.525-00.01.31.625	Waking, she goes on a rampage,
0076_00.01.31.625-00.01.36.460	 hunting pieces of gold to raise her minion, Goldar, to find the Zeo crystal.
0076_00.01.36.460-00.01.38.640	The five teenagers return to the mine
0076_00.01.38.640-00.01.40.640	and discover an ancient spaceship, 
0076_00.01.40.640-00.01.42.130	where they meet Alpha 5
0076_00.01.42.130-00.01.44.220	and Zordon's consciousness.
0076_00.01.44.225-00.01.52.595	They inform the teenagers about the Rangers' history and Rita, warning that they have eleven days until Rita has her full power, finds the Zeo crystal
0076_00.01.52.595-00.01.54.815	and uses it to destroy life on Earth.
0076_00.01.54.815-00.01.58.235	The five leave the ship with no intention of returning,
0076_00.01.58.235-00.02.00.825	until Zordon pleads with Jason to convince the team.
0076_00.02.00.825-00.02.02.745	The five return to train the next day,
0076_00.02.02.745-00.02.04.370	but they cannot morph.
0076_00.02.04.370-00.02.08.070	They spend the next week training against simulated Putties
0076_00.02.08.070-00.02.11.170	and training unsuccessfully to morph.
0076_00.02.11.170-00.02.13.160	To inspire the Rangers, Alpha reveals the Zords.
0076_00.02.13.160-00.02.16.790	Zack takes his Zord out for a joyride
0076_00.02.16.795-00.02.18.170	and almost kills the other Rangers when he crashes it.
0076_00.02.18.170-00.02.20.635	This angers Jason and they fight.
0076_00.02.20.635-00.02.24.975	While trying to separate the two, Billy spontaneously morphs,
0076_00.02.24.975-00.02.27.510	however, when he becomes conscious of it, the armor disappears.
0076_00.02.27.510-00.02.30.810	Angered at their lack of progress, Zordon dismisses the group.
0076_00.02.30.810-00.02.40.240	Jason returns to the ship to confront Zordon and discovers that once the Rangers morph, it will open the morphing grid and allow Zordon to restore himself in a physical body.
0076_00.02.40.240-00.02.44.580	Feeling betrayed, Jason accuses Zordon of using the team for his own benefit.
0076_00.02.44.580-00.02.47.580	The team camp at the mine and bond with each other.
0076_00.02.47.580-00.02.52.200	Later that night, Rita attacks Trini and orders her to bring the Rangers to the docks.
0076_00.02.52.210-00.02.54.000	Trini informs them about Rita
0076_00.02.54.000-00.02.56.540	and they arrive to fight, but are quickly defeated.
0076_00.02.56.545-00.02.59.695	Rita forces Billy to reveal the location of the Zia crystal, which he'd figured out, 
0076_00.02.59.695-00.03.00.555	kills him
0076_00.03.00.555-00.03.03.050	and releases the others.
0076_00.03.03.050-00.03.04.930	The Rangers take Billy's body to the ship
0076_00.03.04.930-00.03.07.630	and ask Zordon to resurrect him.
0076_00.03.07.630-00.03.11.050	The Rangers agree they would give their lives for each other and resolve to defeat Rita.
0076_00.03.11.050-00.03.13.940	In doing so, they unlock the morphing grid.
0076_00.03.13.945-00.03.16.015	Zordon revives Billy, 
0076_00.03.16.015-00.03.18.770	sacrificing being able to restore his physical self.
0076_00.03.18.770-00.03.23.520	With the team restored and confident, The Rangers morph into their armor.
0076_00.03.23.525-00.03.25.245	Rita creates Goldar,
0076_00.03.25.245-00.03.26.205	raises an army of Putties,
0076_00.03.26.205-00.03.28.270	and attacks Angel Grove to find the Zeo crystal.
0076_00.03.28.270-00.03.30.160	The Rangers battle the Putties
0076_00.03.30.160-00.03.32.410	and head to Angel Grove in their Zords.
0076_00.03.32.410-00.03.33.260	UNMATCHED: After the Rangers destroy the Putties,
0076_00.03.33.260-00.03.37.630	Goldar pushes the Rangers and their Zords into a fiery pit.
0076_00.03.37.630-00.03.41.300	In the pit, the Zords combine, forming the Megazord.
0076_00.03.41.300-00.03.43.510	Rita merges with Goldar.
0076_00.03.43.510-00.03.46.035	The Rangers battle and destroy Goldar.
0076_00.03.46.035-00.03.48.805	After refusing Jason's offer to surrender,
0076_00.03.48.805-00.03.52.095	a defiant Rita tells the Rangers that more will come for the crystal
0076_00.03.52.095-00.03.55.315	and leaps at the Megazord, only to be slapped into space.
0076_00.03.55.315-00.03.58.775	The Rangers are praised as local heroes,
0076_00.03.58.775-00.04.00.820	and with Rita's threats foiled, they return to their normal lives.
0076_00.04.00.820-00.04.05.740	In a mid credits scene, in detention, the teacher announces that Tommy Oliver will be joining them,
0076_00.04.05.740-00.04.09.620	but the desk is empty, save for a green jacket.
0077_00.00.14.240-00.00.16.630	Will Rodman,
0077_00.00.16.630-00.00.19.790	a scientist an the San Francisco biotech company, Gensys,
0077_00.00.19.790-00.00.27.920	is testing the viral based drug, ALZ-212 on chimpanzees to find a cure for Alzheimer's disease.
0077_00.00.27.920-00.00.32.220	ALZ-112 is given to a chimp named Bright Eyes, greatly increasing her intelligence.
0077_00.00.32.220-00.00.34.560	However, during Will's presentation for the drug, 
0077_00.00.34.560-00.00.36.130	Bright Eyes is forced from her cage,
0077_00.00.36.130-00.00.37.080	goes on a rampage
0077_00.00.37.080-00.00.38.520	and is killed.
0077_00.00.38.520-00.00.41.160	Will's boss, Steven Jacobs,
0077_00.00.41.160-00.00.44.260	 terminates the project and has the chimps euthanized.
0077_00.00.44.265-00.00.47.825	However, Will's assistant, Robert Franklin, discovers that the reason for Bright Eyes' rampage
0077_00.00.47.825-00.00.50.330	was that she had recently given birth to an infant chimp.
0077_00.00.50.330-00.00.52.150	Will agrees to take in the chimp, 
0077_00.00.52.150-00.00.54.030	who is named Caesar.
0077_00.00.54.030-00.00.57.120	Will learns that Caesar has inherited his mother's intelligence, and decides to raise him.
0077_00.00.57.120-00.00.59.290	Three years later, 
0077_00.00.59.290-00.01.02.460	Will introduces Caesar to the Redwood Forest at Muir Woods National Monument.
0077_00.01.02.465-00.01.07.955	Meanwhile, Will treats his dementia-suffering father, Charles, with ALZ-112, 
0077_00.01.07.955-00.01.09.690	which seems to restore his cognitive ability.
0077_00.01.09.690-00.01.11.950	Five years later, when Caesar reaches adolescence
0077_00.01.11.950-00.01.14.860	and sees a dog on a leash like his own,
0077_00.01.14.860-00.01.16.890	he questions his identity 
0077_00.01.16.890-00.01.18.650	and learns of his origins from Will.
0077_00.01.18.657-00.01.21.787	Meanwhile, Charles' condition returns
0077_00.01.21.787-00.01.23.660	as he becomes resistant to ALZ-112.
0077_00.01.23.660-00.01.27.480	Caesar injures a neighbor while defending a confused Charles.
0077_00.01.27.480-00.01.28.590	UNMATCHED
0077_00.01.28.595-00.01.30.195	As a result, he is placed in a primate shelter
0077_00.01.30.195-00.01.34.085	where he is treated cruelly by the other chimps and the chief guard, Dodge Landon.
0077_00.01.34.085-00.01.36.365	Caesar learns how to unlock his cage,
0077_00.01.36.365-00.01.38.750	gaining free access to the common area.
0077_00.01.38.750-00.01.41.090	With the assistance of a gorilla named Buck,
0077_00.01.41.090-00.01.44.590	he confronts the sanctuary's alpha chimp, named Rocket, and claims that position.
0077_00.01.44.590-00.01.53.580	Meanwhile, Jacobs clears development of a more powerful, gaseous version of the drug, ALZ-113, when Will tells him it can also improve intelligence.
0077_00.01.53.585-00.01.54.825	Will takes the drug home to try to save his father,
0077_00.01.54.825-00.01.58.155	but Charles declines further treatment
0077_00.01.58.155-00.01.59.530	and dies overnight.
0077_00.01.59.530-00.02.05.030	After attempting to test the drug on a scarred bonobo test subject, named Koba, 
0077_00.02.05.030-00.02.07.390	Franklin becomes exposed to ALZ-113
0077_00.02.07.390-00.02.08.610	and becomes ill.
0077_00.02.08.610-00.02.10.080	Attempting to warn Will at his home,
0077_00.02.10.080-00.02.12.490	he sneezes blood onto their neighbor.
0077_00.02.12.490-00.02.15.230	Franklin is later found dead.
0077_00.02.15.230-00.02.18.730	Will attempts to reclaim Caesar, but he refuses to go home with him.
0077_00.02.18.735-00.02.20.995	Instead, he escapes from the facility
0077_00.02.20.995-00.02.22.325	and returns to Will's house, 
0077_00.02.22.325-00.02.24.960	where he takes canisters of the ALZ-113.
0077_00.02.24.960-00.02.26.030	UNMATCHED
0077_00.02.26.035-00.02.28.825	Upon returning, Caesar releases the gas
0077_00.02.28.825-00.02.30.655	and allows it to enhance the intelligence of the other apes. 
0077_00.02.30.655-00.02.33.625	When Dodge attempts to get him back into his cage, 
0077_00.02.33.625-00.02.37.855	Caesar speaks for the first time, yelling
0077_00.02.37.855-00.02.39.995	and then unintentionally electrocuting him to death.
0077_00.02.39.995-00.02.41.295	The apes flee the facility, 
0077_00.02.41.295-00.02.43.395	release the remaining chimps from Gensys,
0077_00.02.43.395-00.02.45.820	and free more apes from the San Francisco zoo.
0077_00.02.45.820-00.02.52.110	A battle ensues as the ape army fights their way past a police blockade on the Golden Gate Bridge to escape into the Redwood Forest.
0077_00.02.52.115-00.02.53.215	Buck sacrifices himself to save Caesar,
0077_00.02.53.215-00.02.58.680	by jumping into the helicopter in which Jacobs is riding.
0077_00.02.58.680-00.03.02.630	The helicopter crashes onto the bridge, trapping Jacobs in the wreckage.
0077_00.03.02.630-00.03.05.485	Jacobs is then killed by Koba.
0077_00.03.05.485-00.03.07.365	As the apes find their way into the forest,
0077_00.03.07.365-00.03.09.710	Will arrives and warns Caesar that the humans will hunt them down and begs him to return home.
0077_00.03.09.710-00.03.18.950	In response, Caesar hugs him and says , "Caesar is home."
0077_00.03.18.960-00.03.22.660	Will, realizing that this is indeed their last goodbye, respects Caesar's wishes.
0077_00.03.22.660-00.03.25.860	The apes embrace their new lifestyle in the forest.
0077_00.03.25.860-00.03.34.130	In a mid-credits scene, Will's neighbor, who is now infected from Franklin sneezing blood on him, is shown leaving for work as an airline pilot.
0077_00.03.34.140-00.03.38.180	Arriving at San Francisco International Airport for his flight to Paris, 
0077_00.03.38.180-00.03.41.330	his nose begins to drip blood onto the floor.
0077_00.03.41.330-00.03.48.090	A graphic traces the spread of the humanity-ravaging virus around the globe via international flight routes.
0078_00.00.09.150-00.00.14.460	Thirty years after the destruction of the second Death Star and the Galactic Civil War,
0078_00.00.14.460-00.00.19.140	the First Order has risen from the Fallen Galactic Empire and seeks to eliminate
0078_00.00.19.140-00.00.20.600	the New Republic.
0078_00.00.20.600-00.00.21.980	The Resistance, backed by the Republic
0078_00.00.21.990-00.00.25.300	and led by General Leia Organa, opposes them,
0078_00.00.25.300-00.00.28.360	while searching for her brother, Luke Skywalker.
0078_00.00.28.360-00.00.31.360	Resistance pilot Poe Dameron meets 
0078_00.00.31.360-00.00.33.190	village elder Lor San Tekka
0078_00.00.33.190-00.00.34.570	on the planet Jakku
0078_00.00.34.570-00.00.36.200	to obtain a map to Luke's location.
0078_00.00.36.200-00.00.38.410	Stormtroopers commanded by
0078_00.00.38.410-00.00.39.770	the mysterious Kylo Ren
0078_00.00.39.770-00.00.40.830	destroy the village
0078_00.00.40.830-00.00.42.080	and capture Poe
0078_00.00.42.080-00.00.43.560	while Ren kills Tekka.
0078_00.00.43.560-00.00.45.500	Poe's droid, BB-8,
0078_00.00.45.500-00.00.48.000	escapes with the map and encounters
0078_00.00.48.000-00.00.48.740	a scavenger named Rey
0078_00.00.48.740-00.00.49.910	near a junkyard settlement.
0078_00.00.49.910-00.00.53.900	Ren tortures Poe using the Force and learns of BB-8.
0078_00.00.53.900-00.00.57.510	Mysterious stormtrooper FN-2187
0078_00.00.57.510-00.00.58.620	frees Poe
0078_00.00.58.620-00.01.00.760	and they escape in a stolen TIE fighter.
0078_00.01.00.760-00.01.04.520	Poe names FN-2187 "Finn".
0078_00.01.04.520-00.01.04.770	UNMATCHED: They crash on Jakku.
0078_00.01.04.770-00.01.07.900	Finn survives,
0078_00.01.07.900-00.01.08.190	UNMATCHED: but he believes that Poe was killed in the crash.
0078_00.01.08.190-00.01.09.150	Finn encounters
0078_00.01.09.150-00.01.10.660	Rey and BB-8
0078_00.01.10.660-00.01.11.010	UNMATCHED: but the First Order tracks them
0078_00.01.11.010-00.01.12.980	and launches an airstrike.
0078_00.01.12.980-00.01.17.170	Finn, Rey, and BB-8 flee the planet in the Millennium Falcon,
0078_00.01.17.170-00.01.18.990	which they steal from a junkyard.
0078_00.01.18.990-00.01.21.490	The Falcon is captured by a larger ship
0078_00.01.21.490-00.01.25.980	piloted by Han Solo and Chewbacca, looking to reclaim their former vessel.
0078_00.01.25.980-00.01.29.380	Two rival gangs seeking to settle debts with Han
0078_00.01.29.380-00.01.30.530	board and attack
0078_00.01.30.530-00.01.31.130	but Han and his allies
0078_00.01.31.140-00.01.32.530	flee in the Falcon.
0078_00.01.32.530-00.01.34.530	The gangs inform the First Order.
0078_00.01.34.530-00.01.40.280	At the First Order Starkiller Base, a planet converted into a super weapon that harnesses energy from stars,
0078_00.01.40.280-00.01.42.340	Supreme Leader Snoke orders
0078_00.01.42.340-00.01.43.600	General Hux
0078_00.01.43.600-00.01.45.560	to use the weapon for the first time.
0078_00.01.45.560-00.01.49.110	Snoke questions Ren's ability to deal with emotions relating to his father,
0078_00.01.49.110-00.01.49.480	UNMATCHED: Han Solo.
0078_00.01.49.480-00.01.52.940	Ren says Solo means nothing to him.
0078_00.01.52.940-00.01.57.270	The Falcon crew views BB-8's map and determines it is incomplete.
0078_00.01.57.270-00.02.05.700	Han explains that Luke attempted to rebuild the Jedi Order
0078_00.02.05.700-00.02.06.000	UNMATCHED: but exiled himself
0078_00.02.06.000-00.02.06.410	UNMATCHED: when an apprentice turned to the Dark Side, destroyed the temple, and slaughtered all the other apprentices.
0078_00.02.06.410-00.02.08.950	The crew travels to the planet Takodana
0078_00.02.08.950-00.02.10.110	and meets with cantina owner Maz Kanata,
0078_00.02.10.110-00.02.14.810	who offers assistance
0078_00.02.14.810-00.02.15.170	UNMATCHED: in getting BB-8 to the Resistance.
0078_00.02.15.170-00.02.17.420	Rey is drawn to a vault on the lower level
0078_00.02.17.420-00.02.22.100	and finds the lightsaber that once belonged to Luke and his father, Anakin Skywalker.
0078_00.02.22.100-00.02.24.220	She experiences disturbing visions
0078_00.02.24.220-00.02.25.630	and flees into the woods.
0078_00.02.25.630-00.02.28.180	Maz gives Finn the lightsaber for safekeeping.
0078_00.02.28.180-00.02.31.990	Starkiller Base fires
0078_00.02.31.990-00.02.33.150	and destroys the Republic Capital and a portion of its fleet.
0078_00.02.33.150-00.02.36.110	The First Order attacks Takodana in search of BB-8.
0078_00.02.36.110-00.02.37.650	Han, Chewbacca, and Finn
0078_00.02.37.660-00.02.39.900	are saved by Resistance X-Wing fighters
0078_00.02.39.900-00.02.42.200	led by Poe, who survived the earlier crash.
0078_00.02.42.200-00.02.44.080	Leia arrives at Takodana
0078_00.02.44.080-00.02.45.610	with C-3PO
0078_00.02.45.610-00.02.46.940	and reunites with Han and Chewbacca.
0078_00.02.46.940-00.02.49.120	Meanwhile, Ren captures Rey
0078_00.02.49.120-00.02.50.670	and takes her to Starkiller Base.
0078_00.02.50.670-00.02.52.540	However, when he interrogates her about the map,
0078_00.02.52.540-00.02.55.620	she is able to resist his mind-reading attempts.
0078_00.02.55.630-00.03.00.620	Discovering she can use the Force, she escapes using a Jedi mind trick on a nearby guard.
0078_00.03.00.630-00.03.02.690	At the Resistance base on D'Qar,
0078_00.03.02.690-00.03.06.930	BB-8 finds R2D2, who has been inactive since Luke's disappearance.
0078_00.03.06.930-00.03.09.760	As Starkiller Base prepares to fire on D'Qar,
0078_00.03.09.760-00.03.14.690	the Resistance devises a plan to destroy the super weapon by attacking a critical facility.
0078_00.03.14.690-00.03.17.110	Leia urges Han to return their son alive.
0078_00.03.17.110-00.03.17.650	Using the Falcon,
0078_00.03.17.650-00.03.19.120	Han, Chewbacca, and Finn
0078_00.03.19.120-00.03.20.860	infiltrate the facility,.
0078_00.03.20.860-00.03.21.790	find Rey,
0078_00.03.21.790-00.03.23.240	and plant explosives.
0078_00.03.23.240-00.03.25.240	Han confronts Ren,
0078_00.03.25.240-00.03.26.620	calling him by his birth name, "Ben",
0078_00.03.26.620-00.03.28.290	and implores him to abandon the Dark Side.
0078_00.03.28.290-00.03.29.690	Ren refuses
0078_00.03.29.690-00.03.30.950	and kills Han,
0078_00.03.30.950-00.03.31.620	enraging Chewbacca,
0078_00.03.31.620-00.03.32.210	who fires
0078_00.03.32.210-00.03.33.720	and hits Ren.
0078_00.03.33.720-00.03.35.750	He sets off the explosives,
0078_00.03.35.750-00.03.37.120	allowing the Resistance to attack
0078_00.03.37.120-00.03.38.580	and destroy Starkiller Base.
0078_00.03.38.580-00.03.41.090	The injured Ren pursues Finn and Rey to the surface.
0078_00.03.41.100-00.03.43.970	A lightsaber battle between Ren and Finn ensues,
0078_00.03.43.970-00.03.45.780	leaving Finn badly wounded.
0078_00.03.45.780-00.03.46.880	Rey takes the lightsaber
0078_00.03.46.880-00.03.47.680	and uses the Force
0078_00.03.47.680-00.03.49.330	to defeat Rey,
0078_00.03.49.330-00.03.53.420	before they are separated by a fissure as the planet begins to disintegrate and implode.
0078_00.03.53.420-00.03.57.690	Snoke orders Hux to evacuate and bring Ren to him to complete his training.
0078_00.03.57.700-00.03.59.280	Rey and Chewbacca escape with Finn
0078_00.03.59.280-00.04.00.400	in the Falcon.
0078_00.04.00.410-00.04.04.520	On D'Qar, the Resistance celebrates while Leia, Chewbacca, and Rey 
0078_00.04.04.520-00.04.05.950	mourn Han's death.
0078_00.04.05.960-00.04.08.620	R2D2 awakens and reveals the rest of the map,
0078_00.04.08.620-00.04.10.760	which Rey follows
0078_00.04.10.760-00.04.11.870	to the oceanic planet Ahch-To.
0078_00.04.11.870-00.04.16.430	She finds Luke and presents him with the lightsaber.
0079_00.00.24.240-00.00.27.440	In Derry, Maine, 1960,
0079_00.00.27.440-00.00.30.050	a young boy named Georgie
0079_00.00.30.050-00.00.34.960	is lured to a storm drain
0079_00.00.34.960-00.00.37.690	by a strange, yet seemingly kind man dressed in a clown costume named "Pennywise".
0079_00.00.37.690-00.00.38.270	Pennywise reveals his malevolent nature
0079_00.00.38.270-00.00.40.350	and rips Georgie's arm off,
0079_00.00.40.350-00.00.40.990	killing him.
0079_00.00.40.990-00.00.43.490	Georgie's older brother Bill
0079_00.00.43.490-00.00.48.980	and six other outcast children, who form a group called the "Losers' Club",
0079_00.00.48.980-00.00.51.830	they are all being tormented by the same mysterious clown.
